,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atpif1,12787.545063996493,0.05968705251230147,0.08219347562892586,0.7261774983426563,0.46772996444383186,0.9998350115734302
Chuk,2264.0770647398967,-0.1053990198113632,0.10614427828110001,-0.9929788163638632,0.3207202779831688,0.9998350115734302
Etv1,13857.789410305117,-0.13343557657571536,0.07655785119592469,-1.74293785015244,0.08134447156472085,0.9998350115734302
F9,23.4652051178081,-0.097208695477632,0.758374142199546,-0.12818039285423594,0.8980062162970716,0.9998350115734302
Ezr,9827.850083648169,-0.006334999967589686,0.06442041629628137,-0.09833838915994976,0.9216635957532974,0.9998350115734302
Col4a6,331.43589371056737,0.06671557624419294,0.18455378240892817,0.36149666169597533,0.7177282000869932,0.9998350115734302
Frmd3,758.66208385975,-0.30796116876421464,0.15249656443330856,-2.019462995173872,0.04343911973685444,0.9998350115734302
Ric3,11223.488305948224,-0.06449052639626018,0.0722267662645887,-0.892889571713784,0.37191631220825994,0.9998350115734302
Sh3bp2,442.68628994614704,0.20989067434589476,0.1529356069101974,1.3724120797398145,0.16993519174579097,0.9998350115734302
Nr2c2ap,1543.7336937733787,-0.0061648161125246285,0.10478594270180214,-0.05883247269214676,0.9530855437788115,0.9998350115734302
Shmt2,2458.165514947916,-0.01124816341568664,0.09531876750199586,-0.11800575805232812,0.9060630954979754,0.9998350115734302
Borcs8,2256.418474846716,-0.008625144702377772,0.08751358168116374,-0.09855778425115277,0.9214893900495614,0.9998350115734302
Dnajc7,15678.578931911705,-0.053474324559171525,0.06161035651889089,-0.8679437610911291,0.38542512079442204,0.9998350115734302
Trim43b,37.07743133062768,-0.3297594818637887,0.653608689742831,-0.5045212633166427,0.6138951239042651,0.9998350115734302
Rsph3b,3299.698967179114,-0.026754534359091368,0.09432951231210164,-0.28362846052432095,0.776695124064968,0.9998350115734302
Ccnt2,6098.979729308401,-0.039575079312912556,0.10332309828715996,-0.3830225764516256,0.7017030246435954,0.9998350115734302
Gm6133,526.9978100286222,-0.46605034218411595,0.9334545933243172,-0.49927478585151974,0.6175858155125471,0.9998350115734302
Pglyrp1,514.4379978736218,-0.08039002264054884,0.3171485548313847,-0.25347749947430476,0.7998992463609664,0.9998350115734302
Setbp1,4673.61470921404,-0.0950546340837337,0.0955729483694392,-0.9945767678558796,0.3199421513594005,0.9998350115734302
Tagap1,3793.0981475751146,-0.03120315545815322,0.07865965067098334,-0.3966856602080451,0.691599275938001,0.9998350115734302
Cyld,19613.13478578727,-0.08468221706938482,0.08211151553703784,-1.031307442269622,0.3023966694311401,0.9998350115734302
Il4i1,82.10388181745985,0.016202132570481934,0.4737573349414281,0.034199222630473994,0.9727182864307936,0.9998350115734302
Smg5,10632.546818160305,-0.02594095593355134,0.06523629622471447,-0.39764605648663,0.6908911058904956,0.9998350115734302
Myom1,209.1955292554699,-0.3815173688616776,0.22842120007275407,-1.670236251014184,0.09487263034040787,0.9998350115734302
Slc35f4,1977.7029806979997,-0.1987397193416208,0.10133755457799624,-1.9611655340336565,0.04985971599453085,0.9998350115734302
Nxph4,1070.2028240187149,-0.13587237769665017,0.11025470259566997,-1.2323499542230525,0.21781838689162825,0.9998350115734302
Phyhipl,27181.67030521031,0.05561940886615642,0.06777334386075422,0.8206679159940959,0.41183545076504646,0.9998350115734302
Jhy,47.68477934338919,-0.13128211720532235,0.47906248739904367,-0.2740396517333,0.7840541499121432,0.9998350115734302
F8,272.4270259658969,0.29581511167375624,0.20397211573762616,1.4502723110166185,0.1469825972515601,0.9998350115734302
Arhgap12,4377.582347579647,0.018451348792556152,0.07785606660570833,0.2369930770584719,0.8126621609977112,0.9998350115734302
Ephb3,3079.302445344087,0.03403848067296004,0.07814619843689348,0.43557436386937776,0.6631455741698238,0.9998350115734302
Ulk3,2043.4423783846116,-0.24025835222985242,0.10754670712736845,-2.233990780817794,0.025483679668829178,0.9998350115734302
Il17f,7.427791331729189,-1.4789674267069182,1.216995624747542,-1.2152610877411498,0.22426652803901548,0.9998350115734302
Eps15,36294.86488630797,0.0428376736414245,0.06237863811521506,0.6867362760036879,0.49224893273499837,0.9998350115734302
Fndc3a,6525.980531930392,0.09087159046896001,0.0919371311679348,0.9884101158537518,0.322951835279373,0.9998350115734302
Fam174b,5026.656913423647,-0.0030637858593370987,0.07771285561618578,-0.03942444059022563,0.968551994280924,0.9998350115734302
Ankrd44,1437.6934368481798,-0.015488286302627462,0.11866644159373138,-0.13051951414919347,0.8961554161420195,0.9998350115734302
Lmo1,960.5980676871459,0.02892290134065718,0.12915574451506315,0.22393817208249664,0.8228054128739568,0.9998350115734302
Slc25a40,1253.2402428339526,-0.10405859290349931,0.12184229872425434,-0.854043250932076,0.3930810254267091,0.9998350115734302
Slc35f1,11420.280687118408,-0.07724139667890577,0.08272326862377391,-0.9337324064188064,0.35044194423782615,0.9998350115734302
Bcl2a1b,29.988098724095977,-0.3053973110392376,0.7786846181355094,-0.39219640908084735,0.694913097170408,0.9998350115734302
St8sia2,480.2579933550424,0.36715273881465504,0.18045775997796715,2.0345633175291673,0.04189483151495957,0.9998350115734302
Gm29094,42.132661217256434,-0.5866020737128406,0.829964906140797,-0.7067793702753598,0.47970359662392015,0.9998350115734302
Cplx3,3376.3310653006934,-0.16293204323362742,0.1701131464783886,-0.957786312266739,0.338170522678242,0.9998350115734302
Nmral1,1328.1732933715837,-0.004908966785816397,0.13108531969715567,-0.03744863877326236,0.9701272917132708,0.9998350115734302
Cep85l,2423.0966177664636,-0.11836823825901531,0.09361727496380115,-1.2643845733042813,0.20609202718393105,0.9998350115734302
Uba7,255.89742432489615,-0.037324176339756855,0.24785846656707997,-0.15058665074753663,0.8803017924612825,0.9998350115734302
Paqr6,665.9732765580302,0.10027214430516007,0.1940049252367424,0.5168536014371744,0.6052583591400769,0.9998350115734302
Armh4,4351.286145800763,0.032520513598951716,0.07633520190309696,0.42602250060508895,0.670091450490707,0.9998350115734302
Ccdc61,882.5630845063268,-0.17574973839703142,0.15186784711150356,-1.1572544270545526,0.24716842686335405,0.9998350115734302
4932414N04Rik,14.736263763461679,0.6473528965588442,0.7741838537819747,0.8361746287996744,0.40305666926866546,0.9998350115734302
Pln,110.06778612683134,0.3474278120525417,0.3259674819651187,1.0658358004241644,0.28649787431115104,0.9998350115734302
Cwf19l1,1643.4982334656213,-0.03936881052543686,0.09478128635685427,-0.41536480500182443,0.6778748671456746,0.9998350115734302
Hmox2,8567.440112736993,0.07002845156350218,0.06594469542746961,1.0619269845673056,0.2882688336531054,0.9998350115734302
Tet2,2465.9083438246594,-0.18996694244570556,0.14636490510852435,-1.2978995361275427,0.19432185949916836,0.9998350115734302
Fundc2,5174.409636104762,-0.02948535353844313,0.09154267817527274,-0.3220940672282803,0.7473814326573966,0.9998350115734302
4921507P07Rik,89.54865344324553,-0.015206332461083438,0.3199666894723104,-0.04752473604724838,0.9620950160913042,0.9998350115734302
Lrp1,50818.59272965101,-0.043944623872026495,0.10594770238665147,-0.4147765631731449,0.6783054780618287,0.9998350115734302
Rundc3b,5943.330059543024,0.03617097917840739,0.07755183382093911,0.4664103657680519,0.6409217931977758,0.9998350115734302
Cmc4,484.81808126549345,-0.17508958953484177,0.16020498755106896,-1.0929097290371688,0.2744334362051506,0.9998350115734302
Nhs,1046.9909325931715,-0.12698598483396,0.13979453672234357,-0.9083758765635914,0.36367966652747297,0.9998350115734302
