,C1,C2,C3,KO1,KO2,KO3
Sox4,6287,2930,6744,8307,8385,7788
Mup18,0,0,0,0,0,0
Erap1,1569,728,1827,2415,1772,1791
Apln,3268,1879,3964,4386,4096,3279
Cyp2b9,0,0,0,0,0,0
H2-Aa,163,89,308,421,237,297
Cstf2,10576,5326,11803,14782,10172,12832
Mup19,0,0,0,0,0,0
Trim2,35281,15941,39561,49228,33368,41826
Nrxn3,30361,12213,33512,41972,30326,37562
Sh2b1,9440,4901,10945,13316,10019,10927
Pou2af3,76,58,129,129,67,69
Gns,14146,6507,17450,20410,14535,16450
Ccn4,444,174,565,536,646,382
Cish,748,360,918,978,739,815
Gm37013,0,0,0,0,0,0
Mup5,24,8,39,23,28,8
Pcdha5,1969,669,1942,2453,1948,2194
Ehd1,6650,3352,7530,8982,6018,6898
Recql5,1963,967,2668,3006,2205,2438
Pcdha6,1326,597,1564,1689,1584,1532
Rpusd4,766,407,883,1077,700,866
Gm38666,0,0,0,0,0,0
Pcdha7,1435,623,1658,2233,1528,1506
Gabrb1,17111,7290,19634,23650,14380,21857
Gm37388,0,1,1,0,0,0
Atxn1l,6068,2838,6836,8030,5946,7637
Mup20,3,0,0,0,0,0
Bricd5,19,3,30,52,6,15
Tubgcp6,4702,2246,5830,6913,4722,6330
Pcdha8,188,129,240,234,169,171
Pcdha9,2675,928,1988,2601,1948,2533
Rassf3,6914,2481,9136,10596,7498,7709
Mup3,1,6,2,5,0,0
Cfap97d2,60,23,104,99,100,46
Nol8,3067,1311,3462,4343,2999,3620
Pou2af2,0,0,2,4,7,0
Cdc42bpg,697,348,949,1195,678,705
Casp3,2284,960,2593,3177,2536,2426
H2-Eb1,195,153,324,531,276,302
Mfsd4b5,18,15,28,20,20,20
Atp5e,10348,5495,13281,16761,12740,10211
Hemk1,960,508,1461,1795,987,977
Pcdha10,1189,596,1204,1906,922,1321
Or5d43,187,119,263,421,261,223
Or5d44,0,0,0,0,0,0
Or5d45,106,75,129,170,100,157
Rspo4,26,16,22,47,12,18
Pttg1ip2,11,0,5,19,4,13
Tardbp,15341,7376,17964,23924,16887,18970
